model,time_over_tau,receiver,other_site_1,other_site_2,reference_C_1,reference_C_2,model_C_1,model_C_2,reference_magnitude_gap,model_magnitude_gap,reference_preferred_site,model_preferred_site,raw_order_result,conditional_result,combined_per_entry_empirical_allowance
Gaussian,0.25,0,1,2,-0.06305536980940489,-0.08140724346285726,-0.21859043616037416,-0.2276184499363738,0.018351873653452366,0.009028013775999655,2,2,agree,agree,0.000838012120574718
Gaussian,0.25,1,0,2,-0.06305536980940482,-0.06931868000231033,-0.21859043616037416,-0.20995949819558624,0.006263310192905505,0.008630937964787921,2,0,reverse,reverse,0.000838012120574718
Gaussian,0.25,2,0,1,-0.08140724346285722,-0.06931868000231016,-0.2276184499363738,-0.20995949819558624,0.012088563460547055,0.017658951740787576,0,0,agree,agree,0.000838012120574718
Gaussian,0.75,0,1,2,-0.08720093158844704,-0.11020980461340597,-0.3426582915500678,-0.35817583928274094,0.023008873024958937,0.015517547732673165,2,2,agree,agree,0.000866644855304477
Gaussian,0.75,1,0,2,-0.08720093158844683,-0.10836355506061482,-0.3426582915500678,-0.3277048674348781,0.02116262347216799,0.014953424115189684,2,0,reverse,reverse,0.000866644855304477
Gaussian,0.75,2,0,1,-0.11020980461340579,-0.10836355506061485,-0.35817583928274094,-0.3277048674348781,0.0018462495527909462,0.03047097184786285,0,0,agree,agree,0.000866644855304477
Gaussian,1.0,0,1,2,-0.09154733160060007,-0.11384658411236626,-0.3599262034675514,-0.3766813696383132,0.02229925251176619,0.016755166170761837,2,2,agree,agree,0.0008679433251953773
Gaussian,1.0,1,0,2,-0.09154733160060002,-0.11857209400074861,-0.3599262034675514,-0.34386045612674887,0.02702476240014859,0.016065747340802516,2,0,reverse,reverse,0.0008679433251953773
Gaussian,1.0,2,0,1,-0.11384658411236621,-0.11857209400074845,-0.3766813696383132,-0.34386045612674887,0.004725509888382232,0.032820913511564354,1,0,reverse,reverse,0.0008679433251953773
Gaussian,2.5,0,1,2,-0.10342270879694732,-0.12046581022904111,-0.37528339067604943,-0.3939688448289174,0.017043101432093796,0.018685454152867986,2,2,agree,agree,0.0008170126861247998
Gaussian,2.5,1,0,2,-0.10342270879694733,-0.1492377244393741,-0.37528339067604943,-0.3574853388755625,0.04581501564242678,0.017798051800486936,2,0,reverse,reverse,0.0008170126861247998
Gaussian,2.5,2,0,1,-0.12046581022904108,-0.14923772443937397,-0.3939688448289174,-0.3574853388755625,0.028771914210332886,0.03648350595335492,1,0,reverse,reverse,0.0008170126861247998
Gaussian,7.5,0,1,2,-0.1115732625701587,-0.12462495928033795,-0.37518539811926477,-0.39399235517671327,0.01305169671017925,0.018806957057448503,2,2,agree,agree,0.0007773765510084618
Gaussian,7.5,1,0,2,-0.1115732625701587,-0.16614585708175095,-0.37518539811926477,-0.35724600874992074,0.05457259451159224,0.017939389369344028,2,0,reverse,reverse,0.0007773765510084618
Gaussian,7.5,2,0,1,-0.12462495928033794,-0.16614585708175092,-0.39399235517671327,-0.35724600874992074,0.04152089780141298,0.03674634642679253,1,0,reverse,reverse,0.0007773765510084618
Gaussian,10.0,0,1,2,-0.1128314021364387,-0.1254305371572261,-0.3751847809814637,-0.3939913428127842,0.012599135020787397,0.018806561831320512,2,2,agree,agree,0.0007756498122601778
Gaussian,10.0,1,0,2,-0.11283140213643869,-0.16769318212347753,-0.3751847809814637,-0.3572458527155874,0.05486177998703884,0.017938928265876286,2,0,reverse,reverse,0.0007756498122601778
Gaussian,10.0,2,0,1,-0.12543053715722607,-0.1676931821234775,-0.3939913428127842,-0.3572458527155874,0.04226264496625143,0.0367454900971968,1,0,reverse,reverse,0.0007756498122601778
harmonic,0.0075,0,1,2,-0.0036864705375975887,-0.004727478544044372,-0.012871859939844632,-0.013599688028625767,0.0010410080064467836,0.000727828088781135,2,2,agree,agree,6.74089018123498e-05
harmonic,0.0075,1,0,2,-0.003686470537597686,-0.003761869761439496,-0.012871859939844854,-0.012058103130911546,7.539922384180997e-05,0.000813756808933308,2,0,reverse,unresolved,6.74089018123498e-05
harmonic,0.0075,2,0,1,-0.004727478544044303,-0.003761869761439496,-0.013599688028625767,-0.012058103130911102,0.0009656087826048071,0.0015415848977146651,0,0,agree,agree,6.74089018123498e-05
harmonic,0.025,0,1,2,-0.011586721126133487,-0.014873802552912499,-0.04159666879866597,-0.043972745583299,0.003287081426779012,0.00237607678463303,2,2,agree,agree,0.0002082016519901044
harmonic,0.025,1,0,2,-0.011586721126133626,-0.011887622499094086,-0.041596668798666414,-0.03892921417377415,0.0003009013729604604,0.0026674546248922626,2,0,reverse,unresolved,0.0002082016519901044
harmonic,0.025,2,0,1,-0.014873802552912402,-0.011887622499093864,-0.043972745583299,-0.038929214173773485,0.002986180053818538,0.005043531409525515,0,0,agree,agree,0.0002082016519901044
harmonic,0.075,0,1,2,-0.029694916573798386,-0.038213057472916576,-0.11452610474832908,-0.12124557870812569,0.00851814089911819,0.006719473959796607,2,2,agree,agree,0.000496647960799114
harmonic,0.075,1,0,2,-0.029694916573798344,-0.03094165842380786,-0.1145261047483293,-0.10690342681024695,0.0012467418500095168,0.007622677938082356,2,0,reverse,reverse,0.000496647960799114
harmonic,0.075,2,0,1,-0.03821305747291659,-0.030941658423807944,-0.12124557870812591,-0.10690342681024662,0.0072713990491086455,0.014342151897879296,0,0,agree,agree,0.000496647960799114
harmonic,0.1,0,1,2,-0.03679186086138096,-0.047391802484586756,-0.14650142272233274,-0.15520266259258508,0.010599941623205794,0.008701239870252342,2,2,agree,agree,0.0005929189686903263
