model,time_over_tau,sender,receiver,reference_C,model_C,signed_difference,absolute_difference,empirical_reference_envelope,control_numerical_allowance,conditional_total_error,passes_0_002_observed,passes_0_002_with_empirical_envelope
harmonic,1.0,2,2,-0.24441417809232413,-0.9194471043367792,-0.6750329262444551,0.6750329262444551,0.0008679433251918246,3.9968028886505635e-15,0.6759008695696509,False,False
harmonic,2.5,0,0,-0.2452798767479614,-0.9896643617583561,-0.7443844850103948,0.7443844850103948,0.000817012686121247,3.9968028886505635e-15,0.74520149769652,False,False
harmonic,2.5,0,1,-0.10342270879694733,-0.5553401008867437,-0.45191739208979637,0.45191739208979637,0.000817012686121247,3.9968028886505635e-15,0.4527344047759216,False,False
harmonic,2.5,0,2,-0.12046581022904108,-0.5972003344012079,-0.47673452417216683,0.47673452417216683,0.000817012686121247,3.9968028886505635e-15,0.47755153685829205,False,False
harmonic,2.5,1,0,-0.10342270879694732,-0.5553401008867437,-0.45191739208979637,0.45191739208979637,0.000817012686121247,3.9968028886505635e-15,0.4527344047759216,False,False
harmonic,2.5,1,1,-0.3121029471103618,-0.9958166349580362,-0.6837136878476744,0.6837136878476744,0.000817012686121247,3.9968028886505635e-15,0.6845307005337996,False,False
harmonic,2.5,1,2,-0.14923772443937397,-0.5043127193262482,-0.3550749948868742,0.3550749948868742,0.000817012686121247,3.9968028886505635e-15,0.35589200757299944,False,False
harmonic,2.5,2,0,-0.12046581022904111,-0.5972003344012077,-0.47673452417216655,0.47673452417216655,0.000817012686121247,3.9968028886505635e-15,0.47755153685829177,False,False
harmonic,2.5,2,1,-0.1492377244393741,-0.5043127193262487,-0.35507499488687455,0.35507499488687455,0.000817012686121247,3.9968028886505635e-15,0.35589200757299977,False,False
harmonic,2.5,2,2,-0.28240497572801243,-0.9953008861391487,-0.7128959104111363,0.7128959104111363,0.000817012686121247,3.9968028886505635e-15,0.7137129230972615,False,False
harmonic,7.5,0,0,-0.2535052026993057,-0.9999408636879497,-0.746435660988644,0.746435660988644,0.0007773765510049091,3.9968028886505635e-15,0.747213037539653,False,False
harmonic,7.5,0,1,-0.1115732625701587,-0.5561072792386278,-0.4445340166684691,0.4445340166684691,0.0007773765510049091,3.9968028886505635e-15,0.445311393219478,False,False
harmonic,7.5,0,2,-0.12462495928033794,-0.5982966841012255,-0.47367172482088754,0.47367172482088754,0.0007773765510049091,3.9968028886505635e-15,0.47444910137189644,False,False
harmonic,7.5,1,0,-0.1115732625701587,-0.5561072792386276,-0.44453401666846887,0.44453401666846887,0.0007773765510049091,3.9968028886505635e-15,0.44531139321947777,False,False
harmonic,7.5,1,1,-0.33493435558609747,-0.9999979920640465,-0.665063636477949,0.665063636477949,0.0007773765510049091,3.9968028886505635e-15,0.6658410130289579,False,False
harmonic,7.5,1,2,-0.16614585708175092,-0.5042140535642842,-0.3380681964825333,0.3380681964825333,0.0007773765510049091,3.9968028886505635e-15,0.3388455730335422,False,False
harmonic,7.5,2,0,-0.12462495928033795,-0.5982966841012254,-0.47367172482088743,0.47367172482088743,0.0007773765510049091,3.9968028886505635e-15,0.47444910137189633,False,False
harmonic,7.5,2,1,-0.16614585708175095,-0.5042140535642846,-0.33806819648253367,0.33806819648253367,0.0007773765510049091,3.9968028886505635e-15,0.33884557303354257,False,False
harmonic,7.5,2,2,-0.2983881571249468,-0.9999961783942624,-0.7016080212693155,0.7016080212693155,0.0007773765510049091,3.9968028886505635e-15,0.7023853978203245,False,False
harmonic,10.0,0,0,-0.2543956803154889,-0.9999951607998782,-0.7455994804843893,0.7455994804843893,0.0007756498122566251,3.9968028886505635e-15,0.7463751302966499,False,False
harmonic,10.0,0,1,-0.11283140213643869,-0.5561052438147406,-0.44327384167830186,0.44327384167830186,0.0007756498122566251,3.9968028886505635e-15,0.4440494914905625,False,False
harmonic,10.0,0,2,-0.12543053715722607,-0.5982904485267648,-0.47285991136953875,0.47285991136953875,0.0007756498122566251,3.9968028886505635e-15,0.4736355611817994,False,False
harmonic,10.0,1,0,-0.1128314021364387,-0.5561052438147404,-0.44327384167830164,0.44327384167830164,0.0007756498122566251,3.9968028886505635e-15,0.4440494914905623,False,False
harmonic,10.0,1,1,-0.33711769617434945,-0.9999999337344155,-0.662882237560066,0.662882237560066,0.0007756498122566251,3.9968028886505635e-15,0.6636578873723267,False,False
harmonic,10.0,1,2,-0.1676931821234775,-0.504212119397571,-0.33651893727409354,0.33651893727409354,0.0007756498122566251,3.9968028886505635e-15,0.3372945870863542,False,False
harmonic,10.0,2,0,-0.1254305371572261,-0.5982904485267645,-0.4728599113695384,0.4728599113695384,0.0007756498122566251,3.9968028886505635e-15,0.47363556118179906,False,False
harmonic,10.0,2,1,-0.16769318212347753,-0.5042121193975715,-0.336518937274094,0.336518937274094,0.0007756498122566251,3.9968028886505635e-15,0.3372945870863546,False,False
harmonic,10.0,2,2,-0.2995810779295727,-0.9999998253138701,-0.7004187473842973,0.7004187473842973,0.0007756498122566251,3.9968028886505635e-15,0.701194397196558,False,False
