model,time_over_tau,sender,receiver,reference_C,model_C,signed_difference,absolute_difference,empirical_reference_envelope,control_numerical_allowance,conditional_total_error,passes_0_002_observed,passes_0_002_with_empirical_envelope
Gaussian,0.025,0,1,-0.011586721126133626,-0.032799727871789974,-0.02121300674565635,0.02121300674565635,0.0002082016519861076,3.552713678800501e-15,0.02142120839764601,False,False
Gaussian,0.025,0,2,-0.014873802552912402,-0.03405499495631281,-0.01918119240340041,0.01918119240340041,0.0002082016519861076,3.552713678800501e-15,0.019389394055390072,False,False
Gaussian,0.025,1,0,-0.011586721126133487,-0.032799727871789974,-0.021213006745656487,0.021213006745656487,0.0002082016519861076,3.552713678800501e-15,0.02142120839764615,False,False
Gaussian,0.025,1,1,-0.024565136304858237,-0.06045718709304737,-0.035892050788189134,0.035892050788189134,0.0002082016519861076,3.552713678800501e-15,0.036100252440178796,False,False
Gaussian,0.025,1,2,-0.011887622499093864,-0.031648398844129455,-0.01976077634503559,0.01976077634503559,0.0002082016519861076,3.552713678800501e-15,0.019968977997025253,False,False
Gaussian,0.025,2,0,-0.014873802552912499,-0.03405499495631287,-0.01918119240340037,0.01918119240340037,0.0002082016519861076,3.552713678800501e-15,0.01938939405539003,False,False
Gaussian,0.025,2,1,-0.011887622499094086,-0.031648398844129455,-0.01976077634503537,0.01976077634503537,0.0002082016519861076,3.552713678800501e-15,0.01996897799702503,False,False
Gaussian,0.025,2,2,-0.024697035709684123,-0.058205672338273895,-0.03350863662858977,0.03350863662858977,0.0002082016519861076,3.552713678800501e-15,0.033716838280579434,False,False
Gaussian,0.075,0,0,-0.06601986325706322,-0.14842445383033398,-0.08240459057327076,0.08240459057327076,0.0004966479607951172,3.552713678800501e-15,0.08290123853406943,False,False
Gaussian,0.075,0,1,-0.029694916573798344,-0.08919774344217962,-0.05950282686838128,0.05950282686838128,0.0004966479607951172,3.552713678800501e-15,0.05999947482917995,False,False
