geometry,kappa,grid_n,states,selected_or_last_rank,selected_by_bound,max_absolute_response_error,max_calculated_response_bound,total_operator_seconds,total_reference_seconds,total_time_ratio,finite_fidelity_pass,practical_pass
development,1,17,4913,96,True,1.3307833446329909e-08,1.473580156678421e-06,0.28143387398449704,0.26764833298511803,1.0515061717202832,True,False
development,1,33,35937,96,False,0.00023496999449096334,0.008672054095020159,1.9992245000321418,6.299105792015325,0.3173822707607699,False,False
development,10,17,4913,24,True,9.61916726605061e-07,0.0008178341947378094,0.02814104303251952,0.24521629203809425,0.11476008709954647,True,True
development,10,33,35937,96,True,1.022652407201008e-09,1.1716742687637867e-06,1.9811505840043537,6.152992082992569,0.3219816566123065,True,True
development,100,17,4913,24,True,3.637528556144076e-08,3.9925287637384324e-05,0.02846845902968198,0.24996112601365894,0.1138915457923099,True,True
development,100,33,35937,48,True,1.8344798236036297e-08,8.849473482580335e-05,0.5675990009913221,6.105988333991263,0.09295776047123615,True,True
compact,1,17,4913,48,True,1.0059243166771203e-05,0.00027310277534681616,0.08194191701477394,0.27102820796426386,0.30233722766442933,True,True
compact,1,33,35937,96,True,6.2430654124839835e-06,0.0002865403178620521,2.014794457994867,6.451688123983331,0.3122894999380278,True,True
compact,10,17,4913,48,True,1.2233664958838375e-07,1.3678118308123872e-05,0.08108058298239484,0.2486275410046801,0.32611263681712804,True,True
compact,10,33,35937,96,True,1.0275760398137379e-07,3.8734624616977985e-05,2.0162350419559516,6.173338416963816,0.32660367952864966,True,True
compact,100,17,4913,24,True,3.651083146927192e-08,3.948363278379175e-05,0.027749957982450724,0.2417066659545526,0.11480840990818378,True,True
compact,100,33,35937,48,True,3.7579767520057317e-08,0.00020500428664651084,0.5522870410350151,6.035569749015849,0.09150536966705923,True,True
elongated,1,17,4913,48,True,6.040924874772813e-07,0.00010102109685425421,0.08052775001851842,0.2649144170572981,0.3039764725266014,True,True
elongated,1,33,35937,96,True,4.902979477972025e-08,1.821533240774666e-05,1.9738035829504952,6.7652189579675905,0.291757531458149,True,True
elongated,10,17,4913,48,True,1.2428863635838283e-05,0.0005235342735938334,0.08158337493659928,0.2548589169746265,0.320111910954725,True,True
elongated,10,33,35937,96,True,9.977704571006996e-06,0.0009296639601990383,2.0161078340024687,6.099231000000145,0.33055115210465397,True,True
elongated,100,17,4913,24,True,2.511175974939661e-07,0.00029238059183974964,0.02831212501041591,0.24936191696906462,0.11353828746002247,True,True
elongated,100,33,35937,48,True,3.2094751412081735e-08,0.0001445118591981439,0.5698639590409584,6.056818625016604,0.0940863503303925,True,True
