geometry,kappa,grid_response_difference,domain_response_difference,grid_pass,domain_pass
development,1,0.011068247650082907,0.04443821539455206,False,False
development,10,0.022841243509094777,0.009468619793482569,False,False
development,100,0.02544532261544208,0.002620703187757978,False,False
compact,1,0.0030879685154322073,0.01754573393769497,False,False
compact,10,0.018148836264406554,0.03398652866518437,False,False
compact,100,0.022002439709084998,0.0036440132219979215,False,False
elongated,1,0.019247831161079365,0.0569404834410665,False,False
elongated,10,0.0417803040240694,0.03335058764012638,False,False
elongated,100,0.04663105550240676,0.006493477112247348,False,False
