first,second,kind,G0,K,C,screen_pass
harmonic-A4-h0.5,harmonic-A4-h0.25,old_grid,0.0007475299050272444,0.016266802473739683,0.015601954042667066,False
harmonic-A4-h0.25,harmonic-A4-h0.125,old_grid,0.00019223290822689698,0.004398037501479823,0.004222907064841186,False
harmonic-A4-h0.125,harmonic-A5-h0.125,old_domain,0.011226413434853977,0.009894926758012956,0.01122630904245403,False
harmonic-A5-h0.125,harmonic-A6-h0.125,old_domain,0.00029533156263306104,0.00026524128498117694,0.0002953296264618377,True
harmonic-A6-h0.125,harmonic-A6-h0.0625,fine_grid,3.4253500924563696e-08,0.001095274687842318,0.001095248936732518,False
harmonic-A6-h0.0625,harmonic-A6-h0.03125,fine_grid,8.644995608264594e-09,0.0002753383258352615,0.000275331824526881,True
harmonic-A6-h0.03125,harmonic-A6-h0.015625,fine_grid,2.1663802973748147e-09,6.893028204579821e-05,6.892865272234427e-05,True
harmonic-A6-h0.015625,harmonic-A7-h0.015625,fine_domain,2.6641579694564044e-06,2.413777945631246e-06,2.6641475140420923e-06,True
harmonic-A7-h0.015625,harmonic-A8-h0.015625,fine_domain,8.186776367935522e-09,7.471648522106022e-09,8.187955313765372e-09,True
