kappa,d,n,time_over_tau,restriction_error,analytic_completion_error,same_grid_completion_error,full_harmonic_grid_vs_analytic_error,completion_static_error,completion_delayed_error
1,1,17,0.1,0.040673883303506866,0.19730523993745153,0.16288854081202375,0.03560623068960522,0.6784733938046406,0.4928201046640074
1,1,17,1,0.12984724184459315,0.6996966454897986,0.6720800892950234,0.0290864148889588,0.6784733938046406,0.07755103956473003
1,1,17,10,0.16816349386038487,0.6846130708774116,0.6829259705738702,0.002175365123837314,0.6784733938046406,0.02843745929126797
1,2,17,0.1,0.011681007691142761,0.18322420040168508,0.14761796971207986,0.03560623068960522,0.5408284582948011,0.3736304424646061
1,2,17,1,0.06085050552481118,0.6110969627179951,0.5836883846770108,0.0290864148889588,0.5408284582948011,0.07470792226402018
1,2,17,10,0.04471012474211794,0.5648266010553611,0.5630420763439761,0.002175365123837314,0.5408284582948011,0.028437560601386323
1,3,17,0.1,0.0,0.03560623068960522,2.7755575615628914e-17,0.03560623068960522,0.0021712264927061242,0.03382184252380388
1,3,17,1,0.0,0.029086414888958884,5.551115123125783e-17,0.0290864148889588,0.0021712264927061242,0.026915188396252822
1,3,17,10,0.0,0.002175365123837314,1.1102230246251565e-16,0.002175365123837314,0.0021712264927061242,4.138631131188862e-06
1,1,33,0.1,0.04452060552834905,0.19038245945506205,0.18055899865565242,0.010172584568185816,0.6786919772601537,0.499136163594453
1,1,33,1,0.13214909868595537,0.6911836011027936,0.6828604060896386,0.009186712318388857,0.6786919772601537,0.07535618408319106
1,1,33,10,0.1694057429602967,0.6827043832457486,0.679139353078258,0.003565030167490546,0.6786919772601537,0.026913665697712287
1,2,33,0.1,0.013830225678821736,0.17564402804692947,0.16547144347874365,0.010172584568185816,0.5412426157922171,0.3813628448227079
1,2,33,1,0.06199011161792088,0.6030172510069634,0.5947053077046054,0.009186712318388857,0.5412426157922171,0.07539860800639257
1,2,33,10,0.04639408949247291,0.5545323874660422,0.551546353608501,0.003565030167490546,0.5412426157922171,0.026913744465471505
1,3,33,0.1,0.0,0.010172584568185816,2.7755575615628914e-17,0.010172584568185816,0.003564257352962258,0.007186572747966302
