independent_families,assumed_paired_sd,assumed_mean_gain,nominal_t_half_width,probability_positive_95percent_interval,probability_positive_interval_and_estimate_at_least_0p10,integration_absolute_error_estimate
12,0.15,0.0,0.09530545309921966,0.025000000000379545,0.008553856212042254,5.3988006365405263e-11
12,0.15,0.05,0.09530545309921966,0.18302566866783715,0.10654509152633898,7.37933525634993e-11
12,0.15,0.1,0.09530545309921966,0.5580036599303353,0.45532632303207504,9.25912067392945e-11
12,0.15,0.2,0.09530545309921966,0.9870359933697836,0.9829258110069108,9.756312925282234e-11
12,0.25,0.0,0.15884242183203276,0.025000000000379545,0.023837780782182814,8.337851936657259e-11
12,0.25,0.05,0.15884242183203276,0.09249151570206232,0.09032993564601434,3.840290585532813e-11
12,0.25,0.1,0.15884242183203276,0.24401838831721676,0.24151352399995948,4.880870707602014e-11
12,0.25,0.2,0.15884242183203276,0.7136569728408144,0.7128456446840773,8.303535636855486e-11
12,0.4,0.0,0.2541478749312524,0.025000000000379545,0.02498361059174182,8.015995303143356e-11
12,0.4,0.05,0.2541478749312524,0.05900270691749288,0.0589816855890495,3.524783399295043e-11
12,0.4,0.1,0.2541478749312524,0.12154013579499925,0.12151776462510194,8.557597508460733e-11
12,0.4,0.2,0.2541478749312524,0.3526357431767685,0.35262127276294436,1.8948142183637712e-11
12,0.6,0.0,0.38122181239687863,0.025000000000379545,0.0249997896446988,3.895474914861197e-11
12,0.6,0.05,0.38122181239687863,0.045003881552595534,0.04500364637901254,6.818879488834639e-11
12,0.6,0.1,0.38122181239687863,0.07619464238047013,0.07619440045056917,5.129770219713947e-11
12,0.6,0.2,0.38122181239687863,0.18302566866783715,0.1830254691787025,3.5943137355332055e-11
20,0.15,0.0,0.07020216096298641,0.025000000000002298,0.0014324459562375744,3.3909149793620585e-11
20,0.15,0.05,0.07020216096298641,0.29316005755300595,0.06795084043550145,8.150877614970093e-11
20,0.15,0.1,0.07020216096298641,0.8072908962756665,0.4997600185841215,1.2322697717285495e-11
20,0.15,0.2,0.07020216096298641,0.9998840518801845,0.9985612893369231,3.722926611950605e-11
20,0.25,0.0,0.11700360160497736,0.025000000000002298,0.02114148521252985,5.62710608627738e-11
20,0.25,0.05,0.11700360160497736,0.1334884000231095,0.12243234498173089,8.987408619129241e-11
20,0.25,0.1,0.11700360160497736,0.39686954685183123,0.3824380667433299,7.809111841310167e-11
20,0.25,0.2,0.11700360160497736,0.923898716613058,0.9215905989612898,9.935279833398518e-11
20,0.4,0.0,0.18720576256796378,0.025000000000002298,0.024983403071612564,8.280227716377559e-11
20,0.4,0.05,0.18720576256796378,0.07655759833391382,0.0765320639957382,9.10691244637718e-11
20,0.4,0.1,0.18720576256796378,0.18465150417371887,0.18462272914757585,1.1304670397680854e-11
20,0.4,0.2,0.18720576256796378,0.5644828966786408,0.5644685392681251,6.697208073986846e-11
20,0.6,0.0,0.28080864385194565,0.025000000000002298,0.024999977537206,6.151654220281898e-11
20,0.6,0.05,0.28080864385194565,0.054172845094326065,0.05417281783308504,7.546146081696533e-11
20,0.6,0.1,0.28080864385194565,0.10535564332230735,0.10535561452015565,7.026319544079182e-11
20,0.6,0.2,0.28080864385194565,0.29316005755300595,0.2931600363483724,4.8170867748372986e-11
30,0.15,0.0,0.05601092051371499,0.025000000000000005,0.00013036481612935848,1.4838050324469786e-11
30,0.15,0.05,0.05601092051371499,0.4228091410404095,0.03394457737398348,6.575717054202457e-11
30,0.15,0.1,0.05601092051371499,0.941575764828219,0.49999999967290004,6.561850713811577e-12
30,0.15,0.2,0.05601092051371499,0.9999998178643762,0.9998696351830986,9.215429196205444e-12
30,0.25,0.0,0.09335153418952499,0.025000000000000005,0.013001197750400583,1.1412936568033771e-11
30,0.25,0.05,0.09335153418952499,0.18392063704747122,0.12819086193606138,6.904296578902347e-11
30,0.25,0.1,0.09335153418952499,0.562791228228688,0.4821453129732359,4.1133070598748967e-11
30,0.25,0.2,0.09335153418952499,0.9884752398178622,0.9834714202555292,4.2428502435248406e-11
30,0.4,0.0,0.14936245470324,0.025000000000000005,0.024944173166969237,9.998670294497636e-11
30,0.4,0.05,0.14936245470324,0.09719303337117968,0.09708540382821035,3.3012953782729545e-11
30,0.4,0.1,0.14936245470324,0.26245348423848586,0.2623234050362271,4.159797640872479e-11
30,0.4,0.2,0.14936245470324,0.7539627249951291,0.7539159366695117,8.849360422325686e-11
30,0.6,0.0,0.22404368205485997,0.025000000000000005,0.024999990361512084,4.1974516203180045e-11
30,0.6,0.05,0.22404368205485997,0.06445357571898247,0.06445356275517333,5.0535740079069585e-11
30,0.6,0.1,0.22404368205485997,0.14073175934256618,0.14073174518206827,5.017067471734949e-11
30,0.6,0.2,0.22404368205485997,0.4228091410404095,0.4228091318670078,9.06606259878054e-11
40,0.15,0.0,0.04797232732393255,0.025000000000000036,1.2413303169402463e-05,8.798650140509753e-12
40,0.15,0.05,0.04797232732393255,0.5383026306501644,0.017507490509831313,1.7886310954775424e-11
40,0.15,0.1,0.04797232732393255,0.9842419681167022,0.500000000000002,6.53847257894544e-11
40,0.15,0.2,0.04797232732393255,0.999999999799792,0.9999875866968345,6.285836778186701e-11
40,0.25,0.0,0.0799538788732209,0.025000000000000036,0.005690088134458027,7.8971318672619e-11
40,0.25,0.05,0.0799538788732209,0.23389611788695036,0.10275969015481257,9.644715581735852e-11
40,0.25,0.1,0.0799538788732209,0.6939816704532122,0.4995296537623818,9.251128366174023e-11
40,0.25,0.2,0.0799538788732209,0.9985193757084373,0.9942700735720803,5.7997713428662647e-11
40,0.4,0.0,0.12792620619715345,0.025000000000000036,0.02473248400184698,8.055706102183535e-11
40,0.4,0.05,0.12792620619715345,0.11727720446880609,0.11663327711303847,1.996069873099055e-11
40,0.4,0.1,0.12792620619715345,0.33808158685629947,0.33724970373445856,4.0471294096769586e-11
40,0.4,0.2,0.12792620619715345,0.8693979112082975,0.8691834302703728,5.84478876016766e-11
40,0.6,0.0,0.1918893092957302,0.025000000000000036,0.024999986755213147,8.499506312347652e-11
40,0.6,0.05,0.1918893092957302,0.07412146734224902,0.07412144760463053,5.05863391342916e-11
40,0.6,0.1,0.1918893092957302,0.17575116982635824,0.1757511475382949,6.439788601262766e-11
40,0.6,0.2,0.1918893092957302,0.5383026306501644,0.5383026182875025,9.13193555903046e-11
60,0.15,0.0,0.03874910887586936,0.025000000000000012,1.2087819405596688e-07,7.248366232092974e-13
60,0.15,0.05,0.03874910887586936,0.7189760135926407,0.0049116372537596105,3.529509617047198e-12
60,0.15,0.1,0.03874910887586936,0.9990907824562485,0.5000000000000002,6.932258997498165e-11
