null_family,universe,candidate_count,method,observed_mean,null_mean,observed_minus_null_mean,observed_over_null_mean,null_q025,null_median,null_q975,extreme_count,raw_p,draw_count,exact_enumeration,attainable_sampled_p_floor
legacy_degree_distance,historical126,126,Biquadratic d2 grid,3.7858493325328026e-05,1.2157144282654379e-05,2.5701349042673647e-05,3.114094267955997,2.958006488839961e-06,1.1853714553844625e-05,2.368342060719955e-05,0,9.999000099990002e-05,10000,False,9.999000099990002e-05
legacy_degree_distance,historical126,126,Harmonic d2 same grid,0.00022696265699642941,6.615884132347816e-05,0.00016080381567295127,3.4305718246592978,1.1058801287553563e-05,6.16841039571429e-05,0.00013721771826434625,0,9.999000099990002e-05,10000,False,9.999000099990002e-05
legacy_degree_distance,historical126,126,Distance-Hookean d2 same grid,4.18109937481286e-05,1.3363343664699423e-05,2.844765008342918e-05,3.1287823464853655,3.196022729133824e-06,1.301585528610239e-05,2.6152055652217057e-05,0,9.999000099990002e-05,10000,False,9.999000099990002e-05
legacy_degree_distance,historical126,126,Harmonic all 492 modes,0.019147315219883543,0.016936303323957524,0.0022110118959260197,1.130548671314737,0.011057668184343335,0.016833304629287654,0.02337608196118468,2396,0.23967603239676033,10000,False,9.999000099990002e-05
legacy_degree_distance,historical126,126,Equilibrium d2 biquadratic,3.825372267146978e-05,1.2290992829098466e-05,2.5962729842371312e-05,3.1123378886777577,2.993717664498379e-06,1.1985150661438672e-05,2.39406081451361e-05,0,9.999000099990002e-05,10000,False,9.999000099990002e-05
legacy_degree_distance,historical126,126,Equilibrium all-mode harmonic,0.01929445466294192,0.016982932475836123,0.002311522187105796,1.1361085425261335,0.011091602948909374,0.016876165146113897,0.02344756982913891,2308,0.2308769123087691,10000,False,9.999000099990002e-05
legacy_degree_distance,historical126,126,Graph heat kernel,0.005321694732785938,0.006177131943756278,-0.0008554372109703398,0.8615154704870763,0.0057387089399372464,0.00617925497816073,0.006600534858870106,10000,1.0,10000,False,9.999000099990002e-05
legacy_degree_distance,historical126,126,Contact degree,16.058823529411764,16.30826470588235,-0.2494411764705866,0.9847046156676245,15.470588235294118,16.294117647058822,17.176470588235293,7378,0.7378262173782622,10000,False,9.999000099990002e-05
legacy_degree_distance,historical126,126,Receiver inverse distance,0.09884227271006119,0.09507950229355994,0.0037627704165012488,1.0395749906734222,0.08855207936270865,0.09500529183660342,0.10197696145623626,1469,0.146985301469853,10000,False,9.999000099990002e-05
legacy_degree_distance,historical126,126,Ohm pinned upstream,0.9095237647058824,0.9547568879588234,-0.04523312325294104,0.9526234124902256,0.8791775382352941,0.9552943823529413,1.0252276823529411,8803,0.8803119688031197,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123,123,Biquadratic d2 grid,3.7858493325328026e-05,1.1787785081151889e-05,2.6070708244176135e-05,3.2116714942370272,3.0722610504446353e-06,1.1421910881065315e-05,2.326549152012916e-05,0,9.999000099990002e-05,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123,123,Harmonic d2 same grid,0.00022696265699642941,6.080218734271836e-05,0.00016616046965371104,3.7328041459615404,1.1508592824205304e-05,5.7412530411861444e-05,0.00013045518160137936,0,9.999000099990002e-05,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123,123,Distance-Hookean d2 same grid,4.18109937481286e-05,1.2913917471503164e-05,2.8897076276625435e-05,3.2376692696381197,3.3163528229658898e-06,1.2525794384815736e-05,2.559068182061773e-05,0,9.999000099990002e-05,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123,123,Harmonic all 492 modes,0.019147315219883543,0.01742731381979467,0.001720001400088874,1.098695726597591,0.011552832862249975,0.017364016424511096,0.02363928907433838,2939,0.293970602939706,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123,123,Equilibrium d2 biquadratic,3.825372267146978e-05,1.1919553872858108e-05,2.6334168798611674e-05,3.2093250367848865,3.1135496952883316e-06,1.1551239607956165e-05,2.3508449252761805e-05,0,9.999000099990002e-05,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123,123,Equilibrium all-mode harmonic,0.01929445466294192,0.01747677465055817,0.0018176800123837489,1.1040054614611452,0.011587746294346609,0.017416508634379144,0.023694521413847962,2825,0.28257174282571745,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123,123,Graph heat kernel,0.005321694732785938,0.006059225186163159,-0.0007375304533772213,0.8782797419278219,0.005630803067818745,0.0060607182692906415,0.006480592268528942,9997,0.9997000299970003,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123,123,Contact degree,16.058823529411764,16.552223529411762,-0.4933999999999976,0.9701913160414205,15.764705882352942,16.529411764705884,17.41176470588235,8949,0.8949105089491051,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123,123,Receiver inverse distance,0.09884227271006119,0.09494001486770683,0.003902257842354359,1.0411023512877253,0.08829989464419902,0.09490388072358891,0.10176078642661535,1279,0.127987201279872,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123,123,Ohm pinned upstream,0.9095237647058824,0.948130399047059,-0.038606634341176616,0.9592813030992582,0.8735601794117647,0.9485252352941176,1.0199968044117647,8446,0.8446155384461553,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123_fixed_historical_cuts,123,Biquadratic d2 grid,3.7858493325328026e-05,1.2157144282654379e-05,2.5701349042673647e-05,3.114094267955997,2.958006488839961e-06,1.1853714553844625e-05,2.368342060719955e-05,0,9.999000099990002e-05,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123_fixed_historical_cuts,123,Harmonic d2 same grid,0.00022696265699642941,6.615884132347816e-05,0.00016080381567295127,3.4305718246592978,1.1058801287553563e-05,6.16841039571429e-05,0.00013721771826434625,0,9.999000099990002e-05,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123_fixed_historical_cuts,123,Distance-Hookean d2 same grid,4.18109937481286e-05,1.3363343664699423e-05,2.844765008342918e-05,3.1287823464853655,3.196022729133824e-06,1.301585528610239e-05,2.6152055652217057e-05,0,9.999000099990002e-05,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123_fixed_historical_cuts,123,Harmonic all 492 modes,0.019147315219883543,0.016936303323957524,0.0022110118959260197,1.130548671314737,0.011057668184343335,0.016833304629287654,0.02337608196118468,2396,0.23967603239676033,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123_fixed_historical_cuts,123,Equilibrium d2 biquadratic,3.825372267146978e-05,1.2290992829098466e-05,2.5962729842371312e-05,3.1123378886777577,2.993717664498379e-06,1.1985150661438672e-05,2.39406081451361e-05,0,9.999000099990002e-05,10000,False,9.999000099990002e-05
