null_family,universe,candidate_count,comparison,percentile_rank_denominator,observed_mean,null_mean,observed_minus_null_mean,null_q025,null_median,null_q975,extreme_count,raw_p,draw_count,exact_enumeration,attainable_sampled_p_floor
legacy_degree_distance,historical126,126,Biquadratic minus Harmonic d2 same grid,126,-0.002334267040149393,0.00273375350140056,-0.005068020541549954,-0.005135387488328665,0.0028011204481792717,0.01027077497665733,9112,0.9112088791120888,10000,False,9.999000099990002e-05
legacy_degree_distance,historical126,126,Biquadratic minus Distance-Hookean d2 same grid,126,0.0,-5.3127917833800175e-05,5.3127917833800175e-05,-0.0009337068160597572,0.0,0.0004668534080298786,6948,0.6948305169483052,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123,123,Biquadratic minus Harmonic d2 same grid,126,-0.002334267040149393,0.0018890289449112977,-0.004223295985060691,-0.0065359477124183,0.0018674136321195143,0.01027077497665733,8485,0.8485151484851515,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123,123,Biquadratic minus Distance-Hookean d2 same grid,126,0.0,2.488328664799253e-05,-2.488328664799253e-05,-0.0009337068160597572,0.0,0.0009337068160597572,7644,0.7644235576442355,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123_fixed_historical_cuts,123,Biquadratic minus Harmonic d2 same grid,126,-0.002334267040149393,0.00273375350140056,-0.005068020541549954,-0.005135387488328665,0.0028011204481792717,0.01027077497665733,9112,0.9112088791120888,10000,False,9.999000099990002e-05
legacy_degree_distance,evaluable123_fixed_historical_cuts,123,Biquadratic minus Distance-Hookean d2 same grid,126,0.0,-5.3127917833800175e-05,5.3127917833800175e-05,-0.0009337068160597572,0.0,0.0004668534080298786,6948,0.6948305169483052,10000,False,9.999000099990002e-05
degree_distance_exposure,historical126,126,Biquadratic minus Harmonic d2 same grid,126,-0.002334267040149393,0.0020855275443510735,-0.004419794584500467,-0.004668534080298786,0.0018674136321195143,0.008870214752567693,9157,0.9157084291570843,10000,False,9.999000099990002e-05
degree_distance_exposure,historical126,126,Biquadratic minus Distance-Hookean d2 same grid,126,0.0,-0.00041167133520074694,0.00041167133520074694,-0.0009337068160597572,-0.0004668534080298786,0.0004668534080298786,2833,0.2833716628337166,10000,False,9.999000099990002e-05
degree_distance_exposure,evaluable123,123,Biquadratic minus Harmonic d2 same grid,126,-0.002334267040149393,0.0013116246498599438,-0.003645891690009337,-0.006069094304388421,0.0014005602240896359,0.008403361344537815,8508,0.8508149185081492,10000,False,9.999000099990002e-05
degree_distance_exposure,evaluable123,123,Biquadratic minus Distance-Hookean d2 same grid,126,0.0,-0.0003657329598506069,0.0003657329598506069,-0.0009337068160597572,-0.0004668534080298786,0.0004668534080298786,3470,0.34706529347065296,10000,False,9.999000099990002e-05
degree_distance_exposure,evaluable123_fixed_historical_cuts,123,Biquadratic minus Harmonic d2 same grid,126,-0.002334267040149393,0.0020855275443510735,-0.004419794584500467,-0.004668534080298786,0.0018674136321195143,0.008870214752567693,9157,0.9157084291570843,10000,False,9.999000099990002e-05
degree_distance_exposure,evaluable123_fixed_historical_cuts,123,Biquadratic minus Distance-Hookean d2 same grid,126,0.0,-0.00041167133520074694,0.00041167133520074694,-0.0009337068160597572,-0.0004668534080298786,0.0004668534080298786,2833,0.2833716628337166,10000,False,9.999000099990002e-05
